mês/ano,IGPM,IPCA,Diferença
out/96,10.27,12.02,-1.76
set/96,10.63,13.26,-2.63
ago/96,9.74,14.21,-4.47
jul/96,11.84,14.84,-3.00
jun/96,12.36,16.26,-3.90
mai/96,13.97,17.49,-3.52
abr/96,12.87,19.17,-6.30
mar/96,14.87,20.55,-5.67
fev/96,15.70,21.99,-6.29
jan/96,16.17,21.97,-5.80
dez/95,15.25,22.41,-7.16
nov/95,15.39,22.59,-7.20
out/95,17.28,24.21,-6.93
set/95,18.79,25.69,-6.90
ago/95,21.73,26.36,-4.63
