Entrada/Saída,Data,Movimentação,Produto,Instituição,Quantidade,Preço unitário,Valor da Operação
Debito,02/09/2020,Dividendo - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/09/2020,Juros Sobre Capital Próprio,BBDC4 - BANCO BRADESCO S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,01/09/2020,Dividendo,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,02 "," R$0,06 "
Credito,31/08/2020,Juros Sobre Capital Próprio,BBAS3 - BANCO DO BRASIL S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,44 "," R$1,50 "
Credito,26/08/2020,Juros Sobre Capital Próprio,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,18 "
Credito,19/08/2020,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,18 "
Debito,19/08/2020,Juros Sobre Capital Próprio - Transferido,ITUB4 - ITAU UNIBANCO HOLDING S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,05 "," R$0,18 "
Credito,19/08/2020,Juros Sobre Capital Próprio,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,2," R$0,04 "," R$0,06 "
Credito,19/08/2020,Dividendo,MGLU3 - MAGAZINE LUIZA S/A,NU INVEST CORRETORA DE VALORES S.A.,4," R$0,09 "," R$0,37 "
Credito,18/08/2020,Rendimento - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Credito,18/08/2020,Rendimento - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Debito,18/08/2020,Rendimento - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Debito,18/08/2020,Rendimento - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3, - , - 
Credito,18/08/2020,Juros Sobre Capital Próprio - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,07 "
Debito,18/08/2020,Juros Sobre Capital Próprio - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,03 "," R$0,07 "
Credito,18/08/2020,Dividendo - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,10 "," R$0,29 "
Debito,18/08/2020,Dividendo - Transferido,IRBR3 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,3," R$0,10 "," R$0,29 "
Credito,18/08/2020,Rendimento,IRDM11 - FII IRIDIUM RECEBIVEIS IMOBILIARIOS,NU INVEST CORRETORA DE VALORES S.A.,1," R$0,85 "," R$0,84 "
Debito,12/08/2020,Direitos de Subscrição - Não Exercido,IRBR1 - IRB BRASIL RESSEGUROS S/A,NU INVEST CORRETORA DE VALORES S.A.,0, - , - 
